['2', '5', '6', '7', '8', '4', '1', '9', '3']
['4', '9', '7', '1', '2', '3', '8', '6', '5']
['1', '3', '8', '9', '6', '5', '4', '2', '7']
['8', '6', '5', '2', '3', '7', '9', '1', '4']
['3', '1', '4', '8', '5', '9', '2', '7', '6']
['7', '2', '9', '6', '4', '1', '5', '3', '8']
['5', '8', '2', '3', '9', '6', '7', '4', '1']
['9', '7', '3', '4', '1', '8', '6', '5', '2']
['6', '4', '1', '5', '7', '2', '3', '8', '9']
