['2', '6', '1', '3', '4', '7', '9', '8', '5']
['9', '5', '8', '2', '6', '1', '4', '3', '7']
['4', '7', '3', '5', '8', '9', '2', '6', '1']
['3', '2', '4', '8', '5', '6', '7', '1', '9']
['8', '9', '5', '7', '1', '3', '6', '2', '4']
['7', '1', '6', '4', '9', '2', '3', '5', '8']
['1', '8', '7', '6', '3', '4', '5', '9', '2']
['6', '4', '9', '1', '2', '5', '8', '7', '3']
['5', '3', '2', '9', '7', '8', '1', '4', '6']
