['5', '3', '6', '4', '2', '7', '8', '9', '1']
['2', '9', '8', '5', '3', '1', '4', '7', '6']
['7', '1', '4', '8', '9', '6', '2', '5', '3']
['9', '5', '7', '2', '4', '3', '1', '6', '8']
['4', '6', '3', '7', '1', '8', '9', '2', '5']
['8', '2', '1', '9', '6', '5', '7', '3', '4']
['1', '8', '9', '3', '5', '2', '6', '4', '7']
['6', '4', '5', '1', '7', '9', '3', '8', '2']
['3', '7', '2', '6', '8', '4', '5', '1', '9']
