['2', '8', '5', '4', '3', '9', '1', '7', '6']
['9', '6', '3', '1', '2', '7', '5', '4', '8']
['7', '4', '1', '8', '5', '6', '3', '9', '2']
['5', '1', '9', '2', '8', '4', '6', '3', '7']
['4', '7', '6', '5', '9', '3', '2', '8', '1']
['8', '3', '2', '6', '7', '1', '9', '5', '4']
['3', '5', '4', '7', '6', '2', '8', '1', '9']
['6', '9', '7', '3', '1', '8', '4', '2', '5']
['1', '2', '8', '9', '4', '5', '7', '6', '3']
