['3', '1', '7', '4', '2', '6', '5', '8', '9']
['5', '2', '6', '1', '8', '9', '7', '4', '3']
['8', '9', '4', '3', '5', '7', '6', '1', '2']
['4', '3', '5', '2', '1', '8', '9', '7', '6']
['2', '8', '9', '6', '7', '3', '4', '5', '1']
['7', '6', '1', '9', '4', '5', '3', '2', '8']
['1', '7', '3', '5', '9', '2', '8', '6', '4']
['9', '5', '2', '8', '6', '4', '1', '3', '7']
['6', '4', '8', '7', '3', '1', '2', '9', '5']
