['4', '5', '2', '3', '8', '6', '1', '9', '7']
['6', '7', '9', '4', '5', '1', '2', '8', '3']
['1', '3', '8', '2', '7', '9', '6', '4', '5']
['5', '1', '7', '9', '6', '4', '8', '3', '2']
['2', '8', '6', '1', '3', '7', '4', '5', '9']
['9', '4', '3', '5', '2', '8', '7', '6', '1']
['8', '6', '1', '7', '9', '5', '3', '2', '4']
['3', '9', '4', '8', '1', '2', '5', '7', '6']
['7', '2', '5', '6', '4', '3', '9', '1', '8']
