['3', '8', '6', '2', '4', '5', '1', '7', '9']
['5', '4', '7', '9', '1', '8', '6', '3', '2']
['2', '1', '9', '6', '7', '3', '4', '5', '8']
['8', '5', '1', '7', '2', '4', '9', '6', '3']
['7', '6', '3', '8', '9', '1', '5', '2', '4']
['4', '9', '2', '3', '5', '6', '8', '1', '7']
['1', '7', '8', '5', '3', '9', '2', '4', '6']
['9', '3', '5', '4', '6', '2', '7', '8', '1']
['6', '2', '4', '1', '8', '7', '3', '9', '5']
