['2', '4', '9', '5', '7', '1', '6', '3', '8']
['5', '8', '1', '2', '3', '6', '4', '7', '9']
['7', '6', '3', '4', '8', '9', '2', '5', '1']
['1', '7', '4', '8', '6', '5', '3', '9', '2']
['6', '5', '2', '9', '4', '3', '1', '8', '7']
['9', '3', '8', '7', '1', '2', '5', '6', '4']
['4', '9', '5', '6', '2', '8', '7', '1', '3']
['3', '2', '6', '1', '9', '7', '8', '4', '5']
['8', '1', '7', '3', '5', '4', '9', '2', '6']
