['1', '7', '5', '6', '2', '8', '3', '4', '9']
['3', '8', '9', '4', '7', '1', '5', '2', '6']
['6', '2', '4', '3', '5', '9', '7', '1', '8']
['8', '5', '2', '1', '6', '3', '4', '9', '7']
['4', '9', '3', '5', '8', '7', '2', '6', '1']
['7', '6', '1', '9', '4', '2', '8', '5', '3']
['5', '3', '6', '8', '1', '4', '9', '7', '2']
['9', '1', '7', '2', '3', '5', '6', '8', '4']
['2', '4', '8', '7', '9', '6', '1', '3', '5']
